id,region,label,label_morph_BLEACHED,label_morph,global_label,Dominant_morphologies,fg_global,full_name,grr,grr_description
187,Southeast Asia,MINV_CRI,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Crinoids ,MINV_OTH,Other mobile invertebrates: i.e Echinoderms; lobster
188,Southeast Asia,MINV_OTH,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Sea cucumbers/sea urchins/sea stars/lobster,MINV_OTH,Other mobile invertebrates: i.e Echinoderms; lobster
189,Southeast Asia,NON_FREE,NON_HERM,NON_HERM,FREE,free living,Hard corals,Non hermatypic: Free living (Fungia etc) ,OTH-HC,Other hard coral including all other groups not represented by the other coral categories in Southeast Asia (e.g. Fungia; bleached colonies)
189,Southeast Asia,NON_FREE,NON_HERM,NON_HERM,FREE,free living,Hard corals,Non hermatypic: Free living (Fungia etc) ,OTH-HC,Other hard coral including all other groups not represented by the other coral categories in Southeast Asia (e.g. Fungia; bleached colonies)
190,Southeast Asia,NON_HEL,OTH-SF,OTH-SF,OTH-SF,encrusting and erect,Soft Coral,Non hermatypic: Heliopora,OTH-SF,Other soft-corals outside of the common Alcyoniidae and erect forms (sea fans plumes whips): e.g. Xeniidae; Nepthtydae; Tubipora; Briareum; Heliopora
191,Southeast Asia,NON_MIL,NON_HERM,NON_HERM,NON_HERM,non-hermatypic,Hard corals,Non Hermatypic: Millepora,Mille,Millepora sp.
192,Southeast Asia,SINV_HEX_O,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Other sesile invertebrates soft hexacorrallia,OTH-SINV,Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids
193,Southeast Asia,SINV_HYD,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Hydroids feathery types ,OTH-SINV,Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids
194,Southeast Asia,SINV_OTH,OTHER,OTHER,OTHER,mobile invertebrates,Other Invertebrates,Other sesile invertebrates Bryozoa clams ,OTH-SINV,Other sesile invertebrates: bryozoa; clams; tunicates (ascidians); soft hexacorrallia; hydroids
195,Southeast Asia,SINV_SFC_A,OTH-SF,OTH-SF,OTH-SF,encrusting and erect,Soft Coral,Common LRG Alcyoniide,ALC-SF,Soft coral family Alcyoniidae; genera Lobophytum and Sarcophyton
